Name,Tm,bWAR,Pos
Corey Knebel,MIL,3.7,RP
Archie Bradley,ARI,3.7,RP
Craig Kimbrel,BOS,3.6,RP
Andrew Miller,CLE,3.1,RP
Kenley Jansen,LAD,2.9,RP
David Robertson,NYY,2.9,RP
Mike Minor,KCR,2.8,RP
Madison Bumgarner,SFG,2.9,SP
Jon Gray,COL,3.1,SP
Mike Clevinger,CLE,3.2,SP
Brad Peacock,HOU,3,SP
Dallas Keuchel,HOU,3.9,SP
James Paxton,SEA,3.9,SP
Kyle Hendricks,CHC,3.5,SP
Danny Duffy,KCR,3.2,SP
Cole Hamels,TEX,2.9,SP
Zack Godley,ARI,4.4,SP
Chase Anderson,MIL,4.1,SP
Michael Fulmer,DET,3.6,SP
J.A. Happ,TOR,3.6,SP
Alex Wood,LAD,3.3,SP
Clayton Kershaw,LAD,4.6,SP
Aaron Nola,PHI,4.5,SP
CC Sabathia,NYY,2.8,SP
Stephen Strasburg,WSN,6.5,SP
Robbie Ray,ARI,5,SP
Andrew Cashner,TEX,4.6,SP
Kyle Freeland,COL,3.3,SP
Corey Kluber,CLE,8,SP
Jimmy Nelson,MIL,3.3,SP
German Marquez,COL,3.1,SP
Jordan Montgomery,NYY,2.9,SP
Max Scherzer,WSN,7.3,SP
Luis Severino,NYY,5.3,SP
Jacob deGrom,NYM,4.4,SP
Yu Darvish,TOT,4,SP
Trevor Bauer,CLE,3.1,SP
Gio Gonzalez,WSN,6.6,SP
Zack Greinke,ARI,6,SP
Chris Sale,BOS,6,SP
Carlos Carrasco,CLE,5.4,SP
Drew Pomeranz,BOS,4,SP
Jason Vargas,KCR,3.8,SP
Patrick Corbin,ARI,2.9,SP
Carlos Martinez,STL,2.9,SP
Justin Verlander,TOT,6.4,SP
Marcus Stroman,TOR,5.8,SP
Ervin Santana,MIN,4.6,SP
Lance Lynn,STL,3.1,SP
Zach Davies,MIL,2.9,SP
Jose Altuve,HOU,8.3,B
Aaron Judge,NYY,8.1,B
Giancarlo Stanton,MIA,7.6,B
Joey Votto,CIN,7.5,B
Nolan Arenado,COL,7.2,B
Andrelton Simmons,LAA,7.1,B
Jose Ramirez,CLE,6.9,B
Mike Trout,LAA,6.7,B
Mookie Betts,BOS,6.4,B
Tommy Pham,STL,6.4,B
Carlos Correa,HOU,6.3,B
Kris Bryant,CHC,6.1,B
Charlie Blackmon,COL,6,B
Anthony Rendon,WSN,5.9,B
Paul Goldschmidt,ARI,5.8,B
Marcell Ozuna,MIA,5.8,B
Justin Turner,LAD,5.7,B
Justin Upton,TOT,5.6,B
Corey Seager,LAD,5.6,B
Francisco Lindor,CLE,5.5,B
Lorenzo Cain,KCR,5.3,B
Byron Buxton,MIN,5.1,B
Jonathan Schoop,BAL,5.1,B
Kevin Kiermaier,TBR,5.1,B
George Springer,HOU,5,B
Zack Cozart,CIN,4.9,B
Brett Gardner,NYY,4.9,B
Josh Donaldson,TOR,4.8,B
Chris Taylor,LAD,4.8,B
Jose Abreu,CHW,4.7,B
Elvis Andrus,TEX,4.7,B
Bryce Harper,WSN,4.7,B
Avisail Garcia,CHW,4.5,B
Freddie Freeman,ATL,4.5,B
Brian Dozier,MIN,4.5,B
Josh Reddick,HOU,4.4,B
Anthony Rizzo,CHC,4.4,B
Marwin Gonzalez,HOU,4.3,B
Steven Souza,TBR,4.2,B
Cody Bellinger,LAD,4.2,B
J.D. Martinez,TOT,4.1,B
Nelson Cruz,SEA,4.1,B
Gary Sanchez,NYY,4.1,B
Alex Bregman,HOU,4.1,B
Eric Hosmer,KCR,4,B
Buster Posey,SFG,4,B
Travis Shaw,MIL,4,B
Jed Lowrie,OAK,4,B
Willson Contreras,CHC,3.9,B
Christian Yelich,MIA,3.9,B
