"Season","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","Clutch","WHIP"
"1974","207","178","260","2257","0","4512.2","5.30","3.57","0.63",".277","73.8 %","","","3.43","3.60","","26.1","-6.73","1.35"
"1975","214","172","319","2296","0","4553.2","5.40","4.07","0.67",".277","73.8 %","","","3.50","3.79","","18.9","8.74","1.40"
"1976","238","224","321","2363","0","4692.2","5.10","3.64","0.54",".269","73.5 %","","","3.34","3.58","","14.7","-3.69","1.32"
"1977","310","261","416","2958","0","5711.2","5.45","3.71","0.86",".282","72.8 %","","","3.90","4.08","","21.3","4.51","1.40"
"1978","276","261","390","2751","0","5465.1","4.88","3.73","0.67",".279","73.0 %","","","3.64","3.79","","23.5","2.44","1.40"
"1979","295","272","417","3017","0","5705.2","5.10","3.84","0.81",".287","71.7 %","","","4.13","4.12","","28.5","7.76","1.45"
"1980","271","239","457","3143","0","5896.2","5.13","3.67","0.75",".283","73.0 %","","","3.81","4.00","","27.2","10.32","1.40"
"1981","184","158","304","2169","0","3936.0","5.08","3.71","0.61",".272","74.7 %","","","3.36","3.66","","17.5","17.82","1.35"
"1982","326","275","463","3312","0","6162.1","5.59","3.51","0.80",".277","73.5 %","","","3.67","3.86","","44.9","8.58","1.35"
"1983","295","279","503","3263","0","5864.2","5.37","3.57","0.76",".284","72.3 %","","","3.86","3.91","","29.3","-6.12","1.39"
"1984","303","271","513","3479","0","5898.2","5.66","3.54","0.83",".278","74.4 %","","","3.61","3.95","","26.7","-2.55","1.36"
"1985","299","272","522","3735","0","6224.0","5.65","3.64","0.86",".274","72.8 %","","","3.81","3.95","","35.7","-16.41","1.36"
"1986","308","291","524","3769","0","6152.2","6.16","3.75","0.88",".289","72.5 %","","","4.04","4.01","","38.0","-8.06","1.41"
"1987","346","303","475","3915","0","6286.0","6.50","3.82","1.08",".291","71.7 %","","","4.34","4.34","","34.0","-7.30","1.43"
"1988","285","268","569","3743","0","5848.1","5.95","3.63","0.78",".281","73.4 %","","","3.72","3.87","","26.2","1.12","1.36"
"1989","314","283","582","4095","0","6307.0","6.30","3.60","0.69",".281","73.0 %","","","3.54","3.63","","39.4","-5.41","1.34"
"1990","308","299","637","4454","0","6446.1","6.12","3.65","0.74",".281","73.5 %","","","3.62","3.82","","34.5","7.10","1.35"
"1991","325","295","618","4780","0","6653.2","6.30","3.68","0.82",".280","73.3 %","","","3.77","3.94","","34.9","-0.55","1.35"
"1992","329","297","619","4664","0","6266.2","5.89","3.78","0.71",".278","74.1 %","","","3.60","3.85","","31.9","11.67","1.36"
"1993","323","307","593","4969","0","6343.1","6.41","3.98","0.83",".296","72.2 %","","","4.10","4.19","","36.2","-2.38","1.45"
"1994","227","225","366","3600","0","4495.2","6.58","4.17","1.05",".296","69.9 %","","","4.67","4.70","","20.4","-6.89","1.50"
"1995","295","283","493","4671","0","6066.1","6.69","4.19","1.05",".291","72.5 %","","","4.46","4.66","","27.3","2.54","1.47"
"1996","352","304","536","5344","0","6852.0","6.99","4.41","1.12",".298","71.9 %","","","4.67","4.83","","36.7","8.21","1.51"
"1997","352","330","568","5559","0","6729.1","7.14","3.91","1.00",".302","73.0 %","","","4.21","4.37","","41.1","8.32","1.45"
"1998","310","295","590","5649","0","6544.2","6.88","3.77","1.00",".294","71.3 %","","","4.42","4.43","","36.6","7.82","1.42"
"1999","336","325","570","5713","0","6962.2","6.71","4.01","1.10",".297","71.3 %","","","4.58","4.70","","36.4","2.55","1.47"
"2000","340","317","551","5710","0","7009.2","6.82","3.99","1.09",".302","71.3 %","","","4.60","4.64","","44.0","3.48","1.49"
