"Season","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","Clutch","WHIP"
"1974","762","791","0","1946","1946","12936.0","4.78","3.02","0.73",".278","71.5 %","","","3.69","3.64","","172.3","9.44","1.32"
"1975","749","791","0","1926","1926","12720.0","4.78","3.26","0.80",".276","70.7 %","","","3.89","3.83","","152.8","-3.60","1.35"
"1976","729","743","0","1934","1934","12775.2","4.57","2.98","0.59",".278","70.9 %","","","3.59","3.52","","157.3","4.95","1.31"
"1977","821","870","0","2262","2262","14512.1","4.82","3.05","0.91",".283","70.1 %","","","4.14","4.06","","181.3","-2.89","1.37"
"1978","855","870","0","2262","2262","14698.0","4.40","3.08","0.78",".274","71.2 %","","","3.83","3.82","","178.4","-8.18","1.33"
"1979","832","855","0","2254","2254","14346.0","4.32","3.12","0.94",".280","69.3 %","","","4.27","4.23","","171.4","-12.65","1.38"
"1980","858","890","0","2264","2264","14435.1","4.36","3.00","0.84",".284","69.7 %","","","4.14","4.05","","174.4","2.30","1.38"
"1981","565","591","0","1500","1500","9523.2","4.43","2.97","0.75",".273","71.0 %","","","3.79","3.75","","116.2","-7.53","1.31"
"1982","808","859","0","2270","2270","14172.1","4.50","3.13","0.97",".280","70.5 %","","","4.26","4.22","","157.5","0.71","1.38"
"1983","839","855","0","2270","2270","14416.0","4.66","2.97","0.88",".282","69.8 %","","","4.16","4.04","","172.6","-1.65","1.36"
"1984","830","862","0","2268","2268","14381.1","4.92","3.04","0.90",".284","70.2 %","","","4.16","4.05","","175.4","-7.89","1.37"
"1985","832","859","0","2264","2264","13960.0","5.07","3.19","1.02",".280","70.1 %","","","4.30","4.16","","163.3","10.82","1.38"
"1986","825","842","0","2268","2268","14050.1","5.67","3.27","1.08",".281","70.7 %","","","4.25","4.23","","164.3","4.62","1.37"
"1987","788","831","0","2268","2268","13909.2","5.76","3.33","1.22",".283","70.1 %","","","4.53","4.53","","167.0","-0.33","1.40"
"1988","846","863","0","2262","2262","14341.0","5.31","3.03","0.88",".282","70.4 %","","","4.08","3.94","","173.4","0.42","1.34"
"1989","819","850","0","2266","2266","13873.2","5.11","3.08","0.80",".287","70.4 %","","","4.05","3.88","","161.2","-5.76","1.36"
"1990","825","834","0","2266","2266","13736.0","5.44","3.29","0.83",".286","70.8 %","","","4.06","3.97","","167.9","9.51","1.37"
"1991","809","839","0","2268","2268","13728.1","5.43","3.29","0.88",".287","70.0 %","","","4.26","4.10","","166.7","-2.69","1.38"
"1992","805","837","0","2268","2268","14062.1","5.18","3.25","0.82",".284","70.6 %","","","4.11","3.98","","172.5","0.30","1.36"
"1993","811","827","0","2268","2268","13879.0","5.47","3.37","0.97",".289","69.8 %","","","4.44","4.38","","167.4","-9.27","1.40"
"1994","570","572","0","1594","1594","9733.2","5.85","3.56","1.15",".296","68.7 %","","","4.87","4.76","","123.1","-1.52","1.46"
"1995","714","726","0","2020","2020","11909.2","5.75","3.59","1.10",".296","68.6 %","","","4.85","4.70","","152.3","-8.57","1.47"
"1996","780","828","0","2266","2266","13419.2","5.86","3.51","1.27",".303","68.2 %","","","5.17","4.97","","165.0","-2.41","1.50"
