"Season","G","PA","AB","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","wRAA","Clutch"
"1974","25558","74951","66212","1280","8070","7430","1254","9.1 %","13.3 %",".111",".282",".255",".326",".367",".317","94","27.8","-501.3","285.1","230.3","-79.2","5.72"
"1975","25292","74833","66102","1233","8014","7409","1180","9.0 %","13.1 %",".112",".284",".257",".327",".369",".318","93","33.8","-576.2","328.4","229.3","-204.5","-4.82"
"1976","25233","73933","65814","1113","7739","7178","1364","8.5 %","13.0 %",".106",".281",".255",".320",".361",".314","93","2.8","-566.1","272.5","228.9","-70.6","12.06"
"1977","26016","74905","66701","1631","8556","7986","1555","8.7 %","14.0 %",".135",".287",".262",".328",".396",".321","94","23.2","-562.3","376.9","228.8","-221.4","12.74"
"1978","25423","73318","65156","1276","7742","7210","1533","8.6 %","13.5 %",".117",".280",".254",".320",".372",".312","93","37.6","-551.4","290.6","228.3","-352.9","20.53"
"1979","25478","74116","66089","1427","8186","7650","1486","8.3 %","13.4 %",".124",".286",".261",".325",".385",".316","93","9.8","-622.3","354.8","227.8","-525.4","7.74"
"1980","25950","74060","66272","1243","7852","7354","1839","8.1 %","13.3 %",".115",".286",".259",".320",".374",".311","93","27.9","-521.4","377.2","227.0","-544.8","14.24"
"1981","17489","49024","43654","719","5035","4688","1108","8.4 %","12.9 %",".109",".282",".255",".319",".364",".311","94","21.9","-314.1","116.4","152.7","-138.1","6.52"
"1982","25930","74102","66263","1299","7947","7434","1782","8.0 %","13.9 %",".115",".286",".258",".319",".373",".309","93","33.8","-545.7","248.3","228.3","-590.2","22.27"
"1983","26085","73922","65718","1398","7993","7446","1786","8.7 %","14.5 %",".120",".284",".255",".322",".376",".312","93","1.8","-616.6","415.6","227.9","-465.8","18.93"
"1984","26136","73708","65919","1278","7894","7333","1728","8.3 %","14.8 %",".114",".287",".255",".319",".369",".309","93","36.2","-551.8","290.6","227.6","-517.6","9.41"
"1985","25984","73863","65818","1424","7899","7392","1636","8.6 %","14.5 %",".122",".280",".252",".319",".374",".308","93","19.6","-575.1","356.5","227.7","-590.4","-5.66"
"1986","26504","74006","65730","1523","8096","7557","1842","8.9 %","15.7 %",".127",".285",".253",".322",".380",".312","93","18.3","-613.2","416.4","227.2","-565.0","-1.01"
"1987","26493","74521","66276","1824","8771","8233","1851","8.8 %","15.6 %",".143",".290",".261",".328",".404",".319","93","17.8","-681.4","416.3","227.2","-443.3","-0.08"
"1988","25563","73259","65564","1279","7522","7039","1789","7.9 %","15.1 %",".114",".279",".248",".310",".363",".301","93","26.3","-565.1","410.1","226.7","-631.6","-5.06"
"1989","26220","73829","65817","1365","7673","7126","1528","8.5 %","15.4 %",".119",".277",".246",".312",".365",".305","93","0.2","-547.5","389.2","228.0","-502.3","-4.87"
"1990","26421","73989","65968","1521","8173","7650","1787","8.4 %","15.1 %",".126",".286",".256",".321",".383",".315","93","42.5","-565.4","177.4","229.5","-259.1","5.35"
"1991","26697","73441","65364","1430","7955","7438","1651","8.5 %","15.6 %",".122",".281",".250",".317",".373",".310","94","8.4","-520.0","313.5","226.1","-515.7","24.56"
"1992","26648","73658","65748","1262","7539","7061","1560","8.1 %","15.4 %",".117",".285",".252",".315",".368",".309","94","10.7","-509.9","338.6","227.6","-477.5","3.88"
"1993","30799","86985","77490","1956","10190","9533","1714","8.2 %","15.4 %",".135",".294",".264",".327",".399",".322","93","33.6","-693.2","272.2","265.4","-374.2","-1.04"
"1994","21650","61930","55068","1532","7422","6973","1141","8.4 %","16.4 %",".148",".300",".267",".333",".415",".326","93","-3.4","-529.6","371.8","186.5","-409.7","-4.68"
"1995","27890","77825","69049","1917","9329","8745","1602","8.6 %","17.1 %",".144",".299",".263",".331",".408",".326","93","9.1","-661.0","421.1","234.8","-520.5","-9.71"
"1996","31447","87527","77711","2220","10623","9987","1785","8.6 %","17.4 %",".146",".299",".262",".330",".408",".323","93","17.1","-744.6","813.5","263.9","-960.5","-0.06"
"1997","31112","87374","77203","2163","10440","9876","1817","8.8 %","17.5 %",".147",".300",".263",".333",".410",".327","93","7.1","-723.8","635.0","264.8","-423.9","-9.64"
