"Season","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","Clutch","WHIP"
"1974","265","224","257","3183","0","4954.2","5.07","3.81","0.65",".276","72.8 %","","","3.60","3.73","","16.6","-1.42","1.39"
"1975","256","241","350","3105","0","4872.2","5.08","3.89","0.55",".280","73.4 %","","","3.45","3.64","","13.1","5.19","1.41"
"1976","247","235","362","3119","0","4894.0","5.28","3.66","0.51",".281","72.5 %","","","3.50","3.49","","17.0","-7.30","1.37"
"1977","293","257","429","3457","0","5507.0","5.65","3.66","0.76",".274","73.4 %","","","3.56","3.86","","26.4","-6.17","1.35"
"1978","262","257","414","3140","0","4814.1","5.77","3.91","0.63",".280","73.0 %","","","3.58","3.57","","15.8","-12.68","1.38"
"1979","296","290","423","3359","0","5129.0","5.70","3.74","0.63",".285","72.7 %","","","3.54","3.70","","25.2","-1.85","1.39"
"1980","297","289","445","3440","0","5313.2","5.54","3.52","0.52",".278","73.8 %","","","3.25","3.50","","27.7","-14.19","1.33"
"1981","204","186","301","2482","0","3741.0","5.01","3.61","0.53",".276","73.7 %","","","3.38","3.50","","9.4","-2.47","1.35"
"1982","305","264","469","3513","0","5463.0","5.61","3.39","0.55",".275","74.4 %","","","3.16","3.45","","28.6","-15.12","1.30"
"1983","289","268","474","3497","0","5393.0","5.89","3.56","0.64",".272","74.1 %","","","3.29","3.61","","28.2","-8.45","1.31"
"1984","285","277","480","3484","0","5443.1","6.02","3.55","0.59",".279","73.7 %","","","3.32","3.51","","23.3","-0.13","1.33"
"1985","278","293","455","3560","0","5272.1","5.99","3.73","0.72",".279","72.2 %","","","3.68","3.70","","19.6","-0.86","1.36"
"1986","316","291","480","3785","0","5487.0","6.42","3.89","0.73",".281","74.3 %","","","3.48","3.75","","20.5","-4.11","1.36"
"1987","305","269","496","4029","0","5685.1","6.65","3.71","0.84",".284","73.1 %","","","3.75","3.90","","36.4","-4.49","1.36"
"1988","266","269","480","3588","0","5106.0","6.27","3.40","0.63",".281","73.7 %","","","3.33","3.47","","21.1","8.09","1.31"
"1989","266","255","487","3802","0","5472.2","6.39","3.47","0.61",".272","74.1 %","","","3.26","3.44","","33.8","10.22","1.27"
"1990","288","270","476","4029","0","5596.1","6.30","3.68","0.74",".285","73.5 %","","","3.62","3.77","","21.9","-1.24","1.37"
"1991","284","279","514","4182","0","5529.1","6.40","3.66","0.71",".278","72.8 %","","","3.60","3.75","","21.1","-13.90","1.33"
"1992","317","293","490","4372","0","5464.1","6.55","3.63","0.63",".282","74.6 %","","","3.42","3.53","","16.6","-0.75","1.33"
"1993","326","321","599","5331","0","6433.2","6.79","3.63","0.85",".288","71.1 %","","","3.98","4.01","","27.3","1.38","1.37"
"1994","242","238","411","3842","0","4618.2","6.96","3.84","0.92",".300","72.3 %","","","4.19","4.30","","16.1","-1.00","1.44"
