"Season","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","Clutch","WHIP"
"1974","706","747","0","1944","1944","12539.0","5.15","3.40","0.66",".277","71.5 %","","","3.64","3.58","","176.6","-4.30","1.35"
"1975","714","729","0","1942","1942","12577.1","5.04","3.31","0.67",".277","71.3 %","","","3.70","3.59","","157.2","-0.55","1.34"
"1976","725","737","0","1944","1944","12563.1","4.82","3.06","0.60",".275","71.3 %","","","3.51","3.49","","154.1","-4.73","1.30"
"1977","679","715","0","1944","1944","12008.0","5.27","3.18","0.87",".287","70.6 %","","","4.08","3.95","","143.2","-8.14","1.38"
"1978","709","714","0","1942","1942","12518.2","4.90","3.01","0.68",".273","71.8 %","","","3.58","3.53","","154.2","-7.32","1.29"
"1979","673","679","0","1942","1942","12297.2","4.88","2.97","0.78",".279","71.0 %","","","3.82","3.82","","145.7","-5.81","1.33"
"1980","675","683","0","1946","1946","12216.0","4.84","2.86","0.69",".282","70.9 %","","","3.76","3.67","","142.4","-0.88","1.32"
"1981","436","454","0","1288","1288","7894.1","4.85","2.97","0.57",".277","71.3 %","","","3.55","3.39","","102.7","-4.01","1.29"
"1982","667","708","0","1944","1944","12080.1","5.14","2.91","0.72",".283","70.3 %","","","3.81","3.63","","141.7","-9.15","1.32"
"1983","683","704","0","1948","1948","12068.0","5.38","3.20","0.76",".282","71.1 %","","","3.79","3.77","","142.6","-11.98","1.34"
"1984","686","694","0","1942","1942","11981.1","5.48","3.01","0.69",".284","70.6 %","","","3.71","3.60","","147.0","-10.26","1.32"
"1985","692","677","0","1942","1942","12202.1","5.29","3.09","0.74",".274","72.2 %","","","3.56","3.65","","153.3","6.99","1.29"
"1986","653","678","0","1938","1938","11984.0","5.81","3.14","0.81",".280","71.0 %","","","3.84","3.75","","149.2","4.63","1.31"
"1987","666","702","0","1942","1942","11693.2","5.74","3.26","1.00",".286","70.4 %","","","4.25","4.18","","135.1","3.40","1.38"
"1988","701","698","0","1938","1938","12375.1","5.44","2.81","0.67",".271","71.6 %","","","3.50","3.53","","150.6","-3.29","1.24"
"1989","704","715","0","1946","1946","12061.1","5.57","3.09","0.74",".273","71.6 %","","","3.61","3.68","","137.8","-7.02","1.28"
"1990","684","702","0","1944","1944","11785.0","5.53","3.00","0.81",".280","70.8 %","","","3.88","3.81","","148.2","-4.17","1.31"
"1991","686","691","0","1940","1940","11858.1","5.70","3.04","0.75",".276","71.1 %","","","3.73","3.75","","149.6","-10.17","1.29"
"1992","655","679","0","1944","1944","12036.0","5.51","2.82","0.66",".278","71.8 %","","","3.55","3.51","","151.7","-3.48","1.27"
"1993","808","813","0","2270","2270","13851.1","5.52","2.93","0.88",".289","70.4 %","","","4.08","4.08","","170.5","-0.78","1.35"
"1994","560","564","0","1606","1606","9737.2","6.08","2.98","0.98",".293","70.3 %","","","4.24","4.28","","123.3","5.89","1.36"
"1995","687","703","0","2014","2014","11997.2","6.27","3.04","0.97",".293","70.2 %","","","4.20","4.22","","153.3","10.23","1.36"
"1996","780","788","0","2268","2268","13586.2","6.40","3.06","1.01",".294","69.7 %","","","4.30","4.32","","170.8","5.34","1.36"
"1997","813","775","0","2268","2268","13699.0","6.61","3.24","0.97",".291","71.1 %","","","4.16","4.22","","176.6","9.08","1.35"
"1998","915","926","0","2596","2596","15816.1","6.53","3.14","1.04",".296","70.8 %","","","4.35","4.34","","193.7","9.78","1.37"
"1999","911","918","0","2591","2591","15526.0","6.26","3.42","1.16",".296","69.9 %","","","4.66","4.65","","193.6","6.05","1.43"
"2000","877","904","0","2593","2593","15625.0","6.42","3.52","1.21",".294","70.5 %","","","4.68","4.74","","196.6","7.72","1.44"
"2001","917","937","0","2592","2592","15368.2","6.66","3.16","1.18",".292","70.8 %","","","4.49","4.45","","188.5","8.63","1.37"
"2002","896","921","0","2588","2588","15168.2","6.46","3.32","1.07",".290","71.8 %","44.1 %","11.2 %","4.26","4.29","4.22","177.9","16.52","1.37"
"2003","912","927","0","2590","2590","15210.2","6.39","3.23","1.09",".292","71.2 %","43.7 %","11.4 %","4.40","4.38","4.36","191.2","14.24","1.38"
"2004","880","889","0","2590","2590","15085.0","6.46","3.23","1.14",".292","71.5 %","44.6 %","11.6 %","4.43","4.46","4.36","189.4","5.72","1.39"
"2005","919","932","0","2594","2594","15571.2","6.28","3.04","1.06",".291","72.2 %","44.4 %","11.1 %","4.23","4.27","4.21","197.0","17.68","1.36"
"2006","879","931","0","2590","2590","15067.2","6.34","3.21","1.15",".295","69.9 %","43.9 %","11.2 %","4.65","4.61","4.56","182.0","5.37","1.40"
"2007","868","920","0","2594","2594","14856.1","6.30","3.20","1.12",".299","70.4 %","43.1 %","10.4 %","4.64","4.64","4.53","168.8","7.85","1.42"
"2008","858","893","0","2588","2588","14911.0","6.67","3.24","1.06",".297","71.1 %","44.1 %","10.9 %","4.41","4.37","4.27","186.6","-1.56","1.39"
"2009","895","916","0","2590","2590","15067.2","6.80","3.21","1.05",".295","71.7 %","44.1 %","10.5 %","4.30","4.28","4.23","187.6","9.26","1.37"
"2010","899","932","0","2592","2592","15330.1","6.96","3.09","0.97",".295","72.0 %","44.7 %","9.7 %","4.05","4.06","4.02","182.3","12.98","1.34"
"2011","899","910","0","2590","2590","15547.0","6.88","2.87","0.95",".293","72.4 %","44.9 %","9.9 %","3.94","3.92","3.88","184.9","8.11","1.31"
"2012","918","936","0","2592","2592","15275.1","7.28","2.81","1.02",".294","71.9 %","45.4 %","11.3 %","4.04","3.97","3.98","183.9","-2.46","1.30"
"2013","820","836","0","2430","2430","14352.2","7.19","2.80","0.92",".292","72.6 %","45.8 %","10.4 %","3.86","3.82","3.83","172.6","3.49","1.28"
"2014","847","870","0","2430","2430","14591.2","7.36","2.67","0.89",".294","72.9 %","46.0 %","10.1 %","3.73","3.78","3.70","169.7","-2.42","1.26"
"2015","812","871","0","2430","2430","14022.2","7.55","2.74","1.03",".300","72.5 %","46.3 %","11.9 %","4.05","3.97","3.90","167.3","13.10","1.30"
"2016","812","861","0","2428","2428","13596.0","7.88","3.00","1.16",".299","71.9 %","45.3 %","13.1 %","4.26","4.18","4.14","170.4","6.83","1.32"
"2017","821","850","0","2430","2430","13420.2","8.01","3.18","1.28",".301","72.1 %","45.3 %","14.2 %","4.44","4.40","4.33","163.7","11.57","1.36"
