Season,Lahman.Team,W,L,DivWin,WCWin
2017,ARI,93,69,N,Y
2017,ATL,72,90,N,N
2017,BAL,75,87,N,N
2017,BOS,93,69,Y,N
2017,CHA,67,95,N,N
2017,CHN,92,70,Y,N
2017,CIN,68,94,N,N
2017,CLE,102,60,Y,N
2017,COL,87,75,N,Y
2017,DET,64,98,N,N
2017,HOU,101,61,Y,N
2017,KCA,80,82,N,N
2017,LAA,80,82,N,N
2017,LAN,104,58,Y,N
2017,MIA,77,85,N,N
2017,MIL,86,76,N,N
2017,MIN,85,77,N,Y
2017,NYA,91,71,N,Y
2017,NYN,70,92,N,N
2017,OAK,75,87,N,N
2017,PHI,66,96,N,N
2017,PIT,75,87,N,N
2017,SDN,71,91,N,N
2017,SEA,78,84,N,N
2017,SFN,64,98,N,N
2017,SLN,83,79,N,N
2017,TBA,80,82,N,N
2017,TEX,78,84,N,N
2017,TOR,76,86,N,N
2017,WAS,97,65,Y,N
