Season,Team,League
1974,Angels,AL
1974,Athletics,AL
1974,Brewers,AL
1974,Indians,AL
1974,Orioles,AL
1974,Rangers,AL
1974,Red Sox,AL
1974,Royals,AL
1974,Tigers,AL
1974,Twins,AL
1974,White Sox,AL
1974,Yankees,AL
1974,Astros,NL
1974,Braves,NL
1974,Cardinals,NL
1974,Cubs,NL
1974,Dodgers,NL
1974,Expos,NL
1974,Giants,NL
1974,Mets,NL
1974,Padres,NL
1974,Phillies,NL
1974,Pirates,NL
1974,Reds,NL
1975,Angels,AL
1975,Athletics,AL
1975,Brewers,AL
1975,Indians,AL
1975,Orioles,AL
1975,Rangers,AL
1975,Red Sox,AL
1975,Royals,AL
1975,Tigers,AL
1975,Twins,AL
1975,White Sox,AL
1975,Yankees,AL
1975,Astros,NL
1975,Braves,NL
1975,Cardinals,NL
1975,Cubs,NL
1975,Dodgers,NL
1975,Expos,NL
1975,Giants,NL
1975,Mets,NL
1975,Padres,NL
1975,Phillies,NL
1975,Pirates,NL
1975,Reds,NL
1976,Angels,AL
1976,Athletics,AL
1976,Brewers,AL
1976,Indians,AL
1976,Orioles,AL
1976,Rangers,AL
1976,Red Sox,AL
1976,Royals,AL
1976,Tigers,AL
1976,Twins,AL
1976,White Sox,AL
1976,Yankees,AL
1976,Astros,NL
1976,Braves,NL
1976,Cardinals,NL
1976,Cubs,NL
1976,Dodgers,NL
1976,Expos,NL
1976,Giants,NL
1976,Mets,NL
1976,Padres,NL
1976,Phillies,NL
1976,Pirates,NL
1976,Reds,NL
1977,Angels,AL
1977,Athletics,AL
1977,Blue Jays,AL
1977,Brewers,AL
1977,Indians,AL
1977,Mariners,AL
1977,Orioles,AL
1977,Rangers,AL
1977,Red Sox,AL
1977,Royals,AL
1977,Tigers,AL
1977,Twins,AL
1977,White Sox,AL
1977,Yankees,AL
1977,Astros,NL
1977,Braves,NL
1977,Cardinals,NL
1977,Cubs,NL
1977,Dodgers,NL
1977,Expos,NL
1977,Giants,NL
1977,Mets,NL
1977,Padres,NL
1977,Phillies,NL
1977,Pirates,NL
1977,Reds,NL
1978,Angels,AL
1978,Athletics,AL
1978,Blue Jays,AL
1978,Brewers,AL
1978,Indians,AL
1978,Mariners,AL
1978,Orioles,AL
1978,Rangers,AL
1978,Red Sox,AL
1978,Royals,AL
1978,Tigers,AL
1978,Twins,AL
1978,White Sox,AL
1978,Yankees,AL
1978,Astros,NL
1978,Braves,NL
1978,Cardinals,NL
1978,Cubs,NL
1978,Dodgers,NL
1978,Expos,NL
1978,Giants,NL
1978,Mets,NL
1978,Padres,NL
1978,Phillies,NL
1978,Pirates,NL
1978,Reds,NL
1979,Angels,AL
1979,Athletics,AL
1979,Blue Jays,AL
1979,Brewers,AL
1979,Indians,AL
1979,Mariners,AL
1979,Orioles,AL
1979,Rangers,AL
1979,Red Sox,AL
1979,Royals,AL
1979,Tigers,AL
1979,Twins,AL
1979,White Sox,AL
1979,Yankees,AL
1979,Astros,NL
1979,Braves,NL
1979,Cardinals,NL
1979,Cubs,NL
1979,Dodgers,NL
1979,Expos,NL
1979,Giants,NL
1979,Mets,NL
1979,Padres,NL
1979,Phillies,NL
1979,Pirates,NL
1979,Reds,NL
1980,Angels,AL
1980,Athletics,AL
1980,Blue Jays,AL
1980,Brewers,AL
1980,Indians,AL
1980,Mariners,AL
1980,Orioles,AL
1980,Rangers,AL
1980,Red Sox,AL
1980,Royals,AL
1980,Tigers,AL
1980,Twins,AL
1980,White Sox,AL
1980,Yankees,AL
1980,Astros,NL
1980,Braves,NL
1980,Cardinals,NL
1980,Cubs,NL
1980,Dodgers,NL
1980,Expos,NL
1980,Giants,NL
1980,Mets,NL
1980,Padres,NL
1980,Phillies,NL
1980,Pirates,NL
1980,Reds,NL
1981,Angels,AL
1981,Athletics,AL
1981,Blue Jays,AL
1981,Brewers,AL
1981,Indians,AL
1981,Mariners,AL
1981,Orioles,AL
1981,Rangers,AL
1981,Red Sox,AL
1981,Royals,AL
1981,Tigers,AL
1981,Twins,AL
1981,White Sox,AL
1981,Yankees,AL
1981,Astros,NL
1981,Braves,NL
1981,Cardinals,NL
1981,Cubs,NL
1981,Dodgers,NL
1981,Expos,NL
1981,Giants,NL
1981,Mets,NL
1981,Padres,NL
1981,Phillies,NL
1981,Pirates,NL
1981,Reds,NL
1982,Angels,AL
1982,Athletics,AL
1982,Blue Jays,AL
1982,Brewers,AL
1982,Indians,AL
1982,Mariners,AL
1982,Orioles,AL
1982,Rangers,AL
1982,Red Sox,AL
1982,Royals,AL
1982,Tigers,AL
1982,Twins,AL
1982,White Sox,AL
1982,Yankees,AL
1982,Astros,NL
1982,Braves,NL
1982,Cardinals,NL
1982,Cubs,NL
1982,Dodgers,NL
1982,Expos,NL
1982,Giants,NL
1982,Mets,NL
1982,Padres,NL
1982,Phillies,NL
1982,Pirates,NL
1982,Reds,NL
1983,Angels,AL
1983,Athletics,AL
1983,Blue Jays,AL
1983,Brewers,AL
1983,Indians,AL
1983,Mariners,AL
1983,Orioles,AL
1983,Rangers,AL
1983,Red Sox,AL
1983,Royals,AL
1983,Tigers,AL
1983,Twins,AL
1983,White Sox,AL
1983,Yankees,AL
1983,Astros,NL
1983,Braves,NL
1983,Cardinals,NL
1983,Cubs,NL
1983,Dodgers,NL
1983,Expos,NL
1983,Giants,NL
1983,Mets,NL
1983,Padres,NL
1983,Phillies,NL
1983,Pirates,NL
1983,Reds,NL
1984,Angels,AL
1984,Athletics,AL
1984,Blue Jays,AL
1984,Brewers,AL
1984,Indians,AL
1984,Mariners,AL
1984,Orioles,AL
1984,Rangers,AL
1984,Red Sox,AL
1984,Royals,AL
1984,Tigers,AL
1984,Twins,AL
1984,White Sox,AL
1984,Yankees,AL
1984,Astros,NL
1984,Braves,NL
1984,Cardinals,NL
1984,Cubs,NL
1984,Dodgers,NL
1984,Expos,NL
1984,Giants,NL
1984,Mets,NL
1984,Padres,NL
1984,Phillies,NL
1984,Pirates,NL
1984,Reds,NL
1985,Angels,AL
1985,Athletics,AL
1985,Blue Jays,AL
1985,Brewers,AL
1985,Indians,AL
1985,Mariners,AL
1985,Orioles,AL
1985,Rangers,AL
1985,Red Sox,AL
1985,Royals,AL
1985,Tigers,AL
1985,Twins,AL
1985,White Sox,AL
1985,Yankees,AL
1985,Astros,NL
1985,Braves,NL
1985,Cardinals,NL
1985,Cubs,NL
1985,Dodgers,NL
1985,Expos,NL
1985,Giants,NL
1985,Mets,NL
1985,Padres,NL
1985,Phillies,NL
1985,Pirates,NL
1985,Reds,NL
1986,Angels,AL
1986,Athletics,AL
1986,Blue Jays,AL
1986,Brewers,AL
1986,Indians,AL
1986,Mariners,AL
1986,Orioles,AL
1986,Rangers,AL
1986,Red Sox,AL
1986,Royals,AL
1986,Tigers,AL
1986,Twins,AL
1986,White Sox,AL
1986,Yankees,AL
1986,Astros,NL
1986,Braves,NL
1986,Cardinals,NL
1986,Cubs,NL
1986,Dodgers,NL
1986,Expos,NL
1986,Giants,NL
1986,Mets,NL
1986,Padres,NL
1986,Phillies,NL
1986,Pirates,NL
1986,Reds,NL
1987,Angels,AL
1987,Athletics,AL
1987,Blue Jays,AL
1987,Brewers,AL
1987,Indians,AL
1987,Mariners,AL
1987,Orioles,AL
1987,Rangers,AL
1987,Red Sox,AL
1987,Royals,AL
1987,Tigers,AL
1987,Twins,AL
1987,White Sox,AL
1987,Yankees,AL
1987,Astros,NL
1987,Braves,NL
1987,Cardinals,NL
1987,Cubs,NL
1987,Dodgers,NL
1987,Expos,NL
1987,Giants,NL
1987,Mets,NL
1987,Padres,NL
1987,Phillies,NL
1987,Pirates,NL
1987,Reds,NL
1988,Angels,AL
1988,Athletics,AL
1988,Blue Jays,AL
1988,Brewers,AL
1988,Indians,AL
1988,Mariners,AL
1988,Orioles,AL
1988,Rangers,AL
1988,Red Sox,AL
1988,Royals,AL
1988,Tigers,AL
1988,Twins,AL
1988,White Sox,AL
1988,Yankees,AL
1988,Astros,NL
1988,Braves,NL
1988,Cardinals,NL
1988,Cubs,NL
1988,Dodgers,NL
1988,Expos,NL
1988,Giants,NL
1988,Mets,NL
1988,Padres,NL
1988,Phillies,NL
1988,Pirates,NL
1988,Reds,NL
1989,Angels,AL
1989,Athletics,AL
1989,Blue Jays,AL
1989,Brewers,AL
1989,Indians,AL
1989,Mariners,AL
1989,Orioles,AL
1989,Rangers,AL
1989,Red Sox,AL
1989,Royals,AL
1989,Tigers,AL
1989,Twins,AL
1989,White Sox,AL
1989,Yankees,AL
1989,Astros,NL
1989,Braves,NL
1989,Cardinals,NL
1989,Cubs,NL
1989,Dodgers,NL
1989,Expos,NL
1989,Giants,NL
1989,Mets,NL
1989,Padres,NL
1989,Phillies,NL
1989,Pirates,NL
1989,Reds,NL
1990,Angels,AL
1990,Athletics,AL
1990,Blue Jays,AL
1990,Brewers,AL
1990,Indians,AL
1990,Mariners,AL
1990,Orioles,AL
1990,Rangers,AL
1990,Red Sox,AL
1990,Royals,AL
1990,Tigers,AL
1990,Twins,AL
1990,White Sox,AL
1990,Yankees,AL
1990,Astros,NL
1990,Braves,NL
1990,Cardinals,NL
1990,Cubs,NL
